title,company,address,desc
Data Scientist,Adobe," San Jose, CA","   Our company   At Adobe, we create digital experiences that change the world. How? We help people bring ideas to life by creating content that makes life more fun and work more impactful. We give businesses and organizations the power to truly engage their customers. We're the ones behind the gorgeously designed content that streams across your laptop, TV, phone, and tablet every dayand were the ones who harness the massive power of big data to help companies find and reach the people who crave that content.    We do it with energy, passion, and curiosity, and were backed by our rich heritage and culture of innovation. Were looking for exceptional talent to join us.   The challenge   Adobe is looking for a Data Scientist who will be building the webs next generation of products. These products would help businesses understand and manage their customers full lifecycle, from customer analytics to marketing media optimization. By leveraging predictive models, experimental design methods, and optimization techniques, the selected candidate will be working on the research and development of various products that address challenging business problems including real-time online media optimization, marketing mix modeling and planning, media attribution, leads scoring, sales operation analytics, customer conversion scoring and optimization, customer churn scoring and management and social network analysis.   Ideal candidates will have a strong academic background as well as technical skills including applied statistics, machine learning, data mining, and software development. Familiarity working with large-scale datasets and big data techniques would be a plus.   What youll do  Develop predictive models on large-scale datasets to address various business problems through leveraging advanced statistical modeling, machine learning, or data mining techniques. Develop and implement scalable and efficient modeling algorithms that can work with large-scale data in production systems Collaborate with product management and engineering groups to develop new products and features.  What you need to succeed  PhD or MS degree in Computer Science, Electrical Engineering, Statistics, Applied Math, Econometrics, Operations Research, or other related fields. Deep understanding of statistical modeling, machine learning, or data mining concepts, and a track record of solving problems with these methods. Familiar with one or more machine learning or statistical modeling tools such as R, Matlab and scikit learn Proficient in one or more programming languages such as Python, Java and C Knowledge and experience of working with relational databases and SQL Strong analytical and quantitative problem solving ability. Excellent communication, relationship skills and a strong team player.  Preferred Qualifications  Experience with big data techniques (such as Hadoop, MapReduce, Hive, Pig, Spark) Knowledge of experimental design, ANOVA, statistical inference, and multivariate testing Knowledge of numerical or combinatorial optimization  At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely. Were passionate about cultivating great leaders throughout the organization and we understand that product innovation comes from people innovation.    If youre looking to build your career, Adobes the place for you. Discover what our employees are saying about their career experiences through the Adobe Life magazine.    Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, disability or veteran status."
Data Scientist,TouchPal (TouchPal Keyboard)," Mountain View, CA"," Company Introduction: Have you ever imagined that over 340 million people are using what you are working on? Did you ever work on a smartphone application which is launched more than 600 million times per day by global users? Do you wanna join a high-tech startup company to fully demonstrated your talent and show your passion?  Founded in 2008, TouchPal dedicates itself to improving the usability of mobile devices via the innovative software it designs and brings to the market. One of its primary products is TouchPal Keyboard, the No. 1 keyboard in the world with over 340 million users distributed in 175 countries. It won the Global Champion of GSMA 2009 Global Mobile Innovation Awards, and has 60+ global core patents. TouchPal Keyboard supports 97 input languages. Most well-known brands, such as Samsung, HTC, Sony, Huawei, ZTE, Lenovo, Alcatel, and etc., preload TouchPal Keyboard as the default keyboard of their smartphones. Recently, TouchPal entered into a strategic partnership with Yahoo to provide instant search in the keyboard.   As a fast-growing startup, the company has finished the Round C fund raising in 2014, with Sequoia Fund as the leading Venture Capital. Headquartered in Shanghai China, the company has over 200 employees globally. On top of its large user base, the company is continuing its effort in providing better input experience to users, exploring wider mobile internet services, and deepening its research on data technology.   TouchPal welcomes all the passionate and creative people to build a better future together. Lets work hard and have fun! Job Title: Data Scientist Responsibilities:  Solve ML/NLP problems over very large data sets; Apply ML/NLP algorithms and statistical techniques to build data product features; Leverage data to identify, quantify and influence tangible business gain; Actively contribute to taking the data science at TouchPal to the next level.    Requirements:  D strongly preferred : Computer Science or data-related field; Good programming skills: Python/Java/R and SQL; At least 1 year of practical experience in NLP/ML/IR; At least 1 year of practical experience building data pipelines (using AWS/Hadoop/Spark); Experience working with large datasets (web-dataset / unstructured data); Familiar with one of NoSQL databases.   "
Senior Data Scientist,HomeAway," Austin, TX"," Do you love data? I mean really love data? How about vacations, do you love vacations too? Want a job where data and vacations both swipe right? If so, then HomeAway has a Data Scientist role for youHomeAway connects millions of people taking vacations with millions vacation rental properties. These connections generate rich, diverse, and varied data: textual, numerical, machine-generated, visual, structured, semi-structured, and unstructured. Understanding all aspects of this data is key to HomeAways success, and were hoping you can help. Examples of your impact on the company include:Exploring our wealth of textual and visual information for hidden meanings, thereby revealing untold riches (natural language processing, computer vision)Helping to define our Big Data infrastructure, and building out the Big Compute solutions (Hadoop / Spark / Mahout)Predicting efficient HomeAway customer experiences based on (possibly limited) information about our sites visitors (Machine Learning, Agent Based Modelling)Telling the story of the data to C-level leadership and the entire company (Storytelling)You are someone who:- Demonstrates an innovative vision and has built products that were proven successful in solving or providing answers to real-world, big-data problems- Has public source code repositories in R, Java, Scala, SQL, and/or Python- Has competed in Kaggle (or related) data science competitions (and maybe even won a few)- Has a MS or PhD in a quantitative field (Mathematics, Statistics, Physics, Economics, Computer Science, &c)- Can connect data to the purpose of HomeAway- Wants to assume a role that provides opportunities for gaining mastery every dayA successful candidate will join a small team of similarly-skilled Data Scientists with an outsized impact on the company. Benefits:- Great Medical & Dental Plans- Highly Competitive Salary- Target Annual Bonus- 4 weeks Paid Vacation- Free Vacation Rental on a Yearly Basis (taxable benefit)- Ability to work up to two weeks in any of our offices around the world on a yearly basis- Free Snacks- Weekly company update talks with our C-Team- Company Stock (RSUs)- Free Listing on HomeAway.com- Stand-Up Desk"
Senior Data Scientist,Ancestry," San Francisco, CA"," Company DescriptionAncestry is the world's largest online resource for family history. We have helped pioneer the market for online family history research, taking a pursuit that was expensive and time-consuming and making it easy, affordable and accessible to anyone with an interest in their family history. The foundation of our service is an extensive collection of billions of historical records that we have digitized, indexed and put online over the past 17 years. These digital records and documents, combined with our proprietary online search technologies, tools and collaboration features, have enabled our more than two million subscribers to create over 13 billion historical records, along with millions of DNA results to make meaningful discoveries about the lives of their ancestors.With over 1,400 employees around the world, we are known for our cutting-edge technology, phenomenal innovation, and offer a compelling and rewarding workplace where you will thrive.We seek out passionate people to join our mission of helping people discover, preserve and share their family history. We invite you to explore and discover the many opportunities that await you at Ancestry.com. Job DescriptionThis job presents the opportunity to work in an exciting and dynamic area, with huge opportunities for learning. If you love diving into massive datasets but also want the opportunity to shape the vision and strategic role of Product Analytics then this may be the role for you. Working closely with members of Product, Marketing, Analytics, Finance, Data Service and Engineering teams. Excellent technical skills are essential in order to generate right data and access information from various data sources for structured or non-structured data. This role also involves unleashing the insights hidden within the data and explaining its relevance to non-technical business partners in a way that is actionable and comprehensible to them. Optimization or testing experience is also required. The ideal candidate understands and loves business, analytics and technology.Key Responsibilities / Performance Requirements: Leading analytics support in new product thinking phase, quantitative testing, product execution, performance review and continuous product feature improvement. Leading data science projects on Product Analytics team. Identify critical business problems and translate them into data science projects, manage project cycle, deliver actionable insights and support deployment.  Identify and understand various data sources. Explore large volumes of online and offline data cross platforms. Build up data assets with data engineering partners to be leveraged across organizations. Superior data story teller and action/result driven practitioner. Engage business leaders and cross functional leaders to socialize and help in model adoption. Demonstrates the commitment to quality of data  Mentor other team membersQualifications Masters/PhD in Computer Science, Operation Research, Applied Mathematics, Economics, or a quantitative discipline required. 2+ years of experience analyzing user behavior for online software product or social web site 2+ years of experience using/implementing data tracking for web analytics tool such as Omniture 2+ years work experience analyzing very large datasets and building modeling with SQL, R, Python, SAS or other statistical package. 2+ hands-on experience of running A/B and Multi-Vari test online of offline Strong research and analytical mindset and extremely detail-oriented  Understanding of both supervised and unsupervised machine learning.  Past experience with Recommendation Engine, Text Mining and Content valuation is plus Team player with excellent interpersonal skills, self-motivated, energetic, ""can-do"" attitude in a fast-moving environment Strong communication skills, written and verbal; ability to present data and its implications in a clear, concise manner Advanced proficiency in Excel (pivot tables, advanced formulas, etc) Master data visualization tools such as Tableau or D3Additional InformationAncestry is a profitable, growing company with a positive, high-energy environment. Together, our dedicated teams are harnessing the power of technology and using it to simplify the way people connect with their families and their unique legacies. Our work environment is fast-paced and challenging, but also extremely exciting. Youll work with a team of passionate, engaged individuals. We offer excellent benefits and a competitive compensation package. For additional information, regarding our benefits and career information, please visit our website at http://ancestry.com/careersAncestry is not accepting unsolicited assistance from search firms for this employment opportunity. All resumes submitted by search firms to any employee at Ancestry via-email, the Internet or in any form and/or method without a valid written search agreement in place for this position will be deemed the sole property of Ancestry. No fee will be paid in the event the candidate is hired by Ancestry as a result of the referral or through other means.Ancestry is an Equal Opportunity Employer that makes employment decisions without regard to race, color, religious creed (including religious dress and grooming practices), national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, and medical conditions related thereto), sexual orientation, gender, gender identity and expression, age (40 and older), mental or physical disability (including HIV and AIDS), medical condition (cancer and genetic characteristics), veteran status, citizenship, marital status, genetic information, or any other basis that is prohibited by applicable law. The Company also makes reasonable accommodations to applicants or employees with qualifying disabilities who request them and who otherwise meet the requirements of applicable law. If you would like to request an accommodation during the application process, please contact our Director of Recruiting. All job offers are contingent on a background check screen that complies with applicable law. For San Francisco office candidates, Ancestry will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of San Francisco's Fair Chance Ordinance."
Senior Data Scientist,Adobe," San Jose, CA"," Our company   At Adobe, we create digital experiences that change the world. How? We help people bring ideas to life by creating content that makes life more fun and work more impactful. We give businesses and organizations the power to truly engage their customers. We're the ones behind the gorgeously designed content that streams across your laptop, TV, phone, and tablet every dayand were the ones who harness the massive power of big data to help companies find and reach the people who crave that content.    We do it with energy, passion, and curiosity, and were backed by our rich heritage and culture of innovation. Were looking for exceptional talent to join us.   The challenge   The Systems Technologies Lab is part of Adobe Research - a team of world-class researchers in machine learning, data mining, econometrics and social networking. This team is focused on research opportunities in areas related to digital marketing and media optimization (e.g., Adobe's Marketing Cloud). This research position will focus on discovering innovative approaches to leveraging advanced machine learning, statistical and modeling techniques to perform big data marketing research on multiple massive datasets. Additionally, this researcher will identify key measures, approaches and methodologies for measuring traditional and digital (online, interactive) marketing campaign success against business objectives.    Adobe has been a pioneer and innovator throughout its history and is recognized as one of the Top 100 Best Global Brands according to Interbrand. Adobes dynamic working environment is also well known and has received awards throughout the globe. Recognizing that employees are at the core of our success, Adobe recruits and retains highly qualified and motivated individuals, creates an environment where they can innovate and achieve their best, and rewards them for their performance by giving them an opportunity to share in the companys success.   What youll do  Perform big data marketing research projects leveraging advanced machine learning and statistical techniques including econometric modeling. Identify key measures, approach and methodologies measuring traditional and digital (online, interactive) marketing campaign success against business objectives. Perform data analysis research to identify the key touch points/factors that drive predictive consumer behavior and make personalized recommendations that will drive strategy Use knowledge of advertising and marketing to deliver critical analyses including: campaign effectiveness analysis, customer segmentation and profiling, retention analysis, churn prediction, lifetime value analysis, and competitive market research Work with development teams throughout their product lifecycle.  What you need to succeed  PhD in Computer Science, Statistics, Economics, or Econometrics and 3 years of experience. MS/BS in Computer Science. Ideal candidate would have solid background in a quantitative field, with demonstrated experience constructing and evaluating large data sets for analysis. Experience with statistics, econometrics, and machine learning is essential. Strong publication history within the academic community Knowledge of modeling software (MATLAB, R, SAS, SPSS) database tools (SQL, MS Access, Excel PivotTables, MS Sql Server) and enterprise business intelligence tools such as Cognos or Business Objects or Tableau Comfort analyzing large data sets  At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely. Were passionate about cultivating great leaders throughout the organization and we understand that product innovation comes from people innovation.    If youre looking to build your career, Adobes the place for you. Discover what our employees are saying about their career experiences through the Adobe Life magazine.    Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, disability or veteran status.  "
Senior Data Scientist,OpenTable," San Francisco, CA"," OpenTable is looking for an experienced, impact-driven Senior Data Scientist to join our team. We have a rich set of signals that can be used to help Diners find their next great meal. In this role you will work closely with our product management, user experience, and engineering teams to be develop models to maximize the number of guests that each restaurant can seat leveraging sophisticated modeling of demand, conversion, and decision theory. This is a high profile initiative (with Priceline CEO-level visibility) that represents the first time machine learning will be applied to revenue management in the restaurant industry. This initiative leverages novel techniques and a unique data set to transform the nature of OpenTables relationship with 30,000 restaurants, drive hundreds of millions in incremental revenue for restaurant customers, and seat tens of millions more diners. Your role will be part modeler, and part systems builder, responsible for developing and optimizing models.The right individual will be a problem driven data-scientists, looking to generate sustainable models that solve key problems for customers. We are looking for people who have spent time thinking deeply about specific datasets, and modeling them. Our team includes people with backgrounds such as astrophysics, and robotics. You are someone who wants to own the problem from idea-generation, to problem formulation, to implementation and iteration. Primary ResponsibilitiesExploring data sources to understand properties and quality of real world datasetsIngest, and ETL data into formats for modeling and analysisGenerate batch and incremental models for real-time prediction, classification, outlier detection, etc.Write server-side services to power new featuresPositive Background CorrelationsA Ph.D. in Computer Science, Statistics, or Mathematics, or 5 years of experience in the application of ML to solving real-world problemsA track record of developing new approaches and methods for solving noisy, data-driven problemsSpecific experience in multiple machine learning and inferencing techniques, such as regression, SVMs, Matrix Factorization, Factorization Machines, Boosting / Ensemble methods, HMMs / Graphical Models, Mixture Models, Markov Decision Processes, and Clustering TechniquesExperience with general software development, preferably in Java, Scala or C++, as well as SQL and UnixFamiliarity with recent ML literatureBonus points if you haveA deep background in one of the following: information retrieval / search ranking, natural language processing, collaborative filtering, ontology management / data normalizationExperience with data mining packages such as Scikit-Learn, Graph-Lab, Matlab, R, Experience with ""big-data"" frameworks such as Hadoop, HBase, Cassandra, Scalding, Mesos and SparkAbout OpenTable Our San Francisco FiDi space was renovated just for us. Light-filled, modern, open. Lots of cool, quirky spaces for meeting, collaborating, escaping, phoning, relaxing, playing, eating. Comfy couches everywhere. All the better to enjoy the regular parties, breakfasts and happy hours. Literally across the street from the Montgomery BART/MUNI station. A farmer's market right in our building every week. Endless restaurants and food trucks in the neighborhood; you can have a different lunch every day. Union Square shopping is just steps away.We believe in recharging and refreshing to keep the creativity flowing. You'll have 20 PTO days each year as well as 9 paid holidays. RSUs OpenTable employee have direct interest in the companys successAnd the best part? People you enjoy seeing every day.#LI-BS1"
Data Scientist,LendUp," San Francisco, CA"," Youll power decisions at the core of LendUp on lending, growth, ops, and more. We want you to apply the greatest machine learning models, create the most clever hacks, design the best architectures, and help us find a way to help the tens of millions of Americans banks wont lend to. Youll have the chance to: Key Responsibilities Go end-to-end and take models from prototype to productionBuild algorithms that touch the cutting edge of machine learningWork across the entire company, from listening to customers to pitching ideas to the CEOWrangle data and find solutions regardless of speed or scale everything is in play, from memcache, to relational d atabases, to distributed queues and databasesLearn from some of the smartest, most experienced, scientists and engineers in the world Qualifications Over 2 years of experience in a Data Scientist roleProficiency in Python, Java, or similarComfortable building and deploying production modelsA technical background, for example a BS, MS, PhD, or similar work experienceDriven to learn fast, be creative, and win as a teamBonusAbility to write production quality codeExperience with distributed computing frameworks like Hadoop or Spark"
Senior Data Scientist,Maxpoint Interactive," Boston, MA","  Senior Data Scientist     Job Description   The ideal candidate is an unabashed data geek. You enjoy searching the Internet for datasets that you can explore and mashup to tell interesting stories. You view the skills you have at sourcing, collecting, and cleaning data as a means to an end; you are equally interested gleaning insights from the data that have business application. You probably have developed these skills through a combination of education, work experience and hobbies. If this describes you, we are interested. You will be an integral part of a small, cross-disciplinary team in our Boston, MA office working on highly visible projects that improve performance and grow our product suite.   Responsibilities    Develop advanced mathematical models and computer algorithms to solve business problems. Develop software tools and libraries for analytics applications using languages like Python, R, and SQL. Work on large datasets and create informative visualizations to intuitively display large amounts of data and complex relationships. Write complex database queries using SQL and distributed computing frameworks like MapReduce, Hadoop, Hive and Impala to establish links between large datasets for analytic applications. Identify and build new datasets that would enhance models and decision making. Work closely with product managers, engineers and other analytics team members to translate application prototypes into production environment.    Qualifications    Masters Degree in Computer Science, Mathematics, Statistics, Economics, Engineering (any) or related. At least 3 years of full-time professional experience. At least 3 years of experience applying advanced mathematical and statistical techniques for solving business problems, including linear and logistic regression analysis, ANOVA, hierarchical clustering, and statistical data analysis. At least 3 years of experience working with large datasets, creating effective data summaries and developing business insights. At least 3 years of experience using statistical analysis software such as R At least 3 years of experience working in cloud and parallel computing environment. Proficient in database programming language such as SQL and at least one of the general purpose programming languages such as Python, Java, or C++.    Whats in it for you   MaxPoint offers a generous benefits package including company paid premiums for employee and family health, dental and vision coverage, company contributed Flexible Spending Account for eligible medical expenses, 401k, paid vacation and holidays. Additional benefits include optional employee paid life insurance and AD&D, voluntary long-term disability, and employee contributed Flexible Spending Account for eligible medical and dependent care expenses.     About MaxPoint  MaxPoint provides a leading business intelligence and digital marketing solution that enables national brands to drive local, in-store sales. The companys proprietary Digital Zip technology and the MaxPoint Intelligence Platform predict the most likely local buyers of a specific product at a particular retail location and then execute cross-channel digital marketing campaigns to reach these buyers. MaxPoint has worked with each of the top 20 leading national advertisers and each of the top 10 advertising agencies in the United States as ranked by Advertising Age. For more information, visit www.maxpoint.com, follow MaxPoint on Twitter @maxpoint_int, and subscribe to the OnPoint Blog.     #LI-SK1 CMM MXGD "
Senior Data Scientist,"LegalZoom.com, Inc."," Glendale, CA"," Sr. Data Scientist   LegalZoom runs on technology, and as dot com innovators, we look to technology to help us advance and optimize everything we do. Because of this, we rely on a backbone of committed tech superstars who make our site and software more stellar every day.   This is a fantastic opportunity to work at a company where data sciences can truly change the course of the business, and where information is considered paramount to success. Be at the forefront of LegalZooms data science program where youll participate in building LegalZooms next-generation enterprise data warehouse and self-service BI. This is truly a rare opportunity.     What youll do:    Work with the VP of BI&DW to develop quick-win insights for each business function Help establish the standards for data sciences at LegalZoom Develop the primary predictive models for LTV Build profit models for Marketing and Operations to help drive decisions for spend and labor Deliver actionable customer segmentation models to help improve customer value and improve operational efficiencies using sophisticated clustering and classification methods Partner with business analysts in each department to develop predictive analytics which support performance management methodologies and what-if scenarios Data mine to discover opportunities which are not easily gleaned from general reporting Help to integrate predictive analytics into the business process and develop a data driven culture    Qualifications:    MS or PhD in Applied Statistics, Mathematics, Data Sciences, or appropriate field At least 5 years experience in a data sciences capacity Understanding of CRISP-DM or similar data mining process models Strong ability to design and develop data using SQL Experience with R, SAS, or other industry standard statistical applications Ability to code (Pearl, Scala, Java, etc.) or have previous software engineering experience and hacker abilities Strong knowledge of regression, classification, statistical models, and probability theory Experience with designed experiments and factorial design Must be intensely curious and self-motivated Able to articulate sophisticated concepts to laypeople Ability to drive data mining projects without oversight        LegalZoom is an Equal Opportunity Employer, dedicated to diversity.  "
Senior Data Scientist,Connexity," Los Angeles, CA"," Senior Data Scientist  We're looking for a Data Scientist Superstar. If you are excited to leverage state-of-the-art methods to turn big data into business value - if you can manage people and projects and see an idea through from conception to delivery - if you want to make a difference, then you just might be just the person we are looking for.ResponsibilitiesTranslating business problems into analytic frameworks and using advanced methods (machine learning, data mining, statistical modeling) to create business value.Managing analytics projects throughout entire development lifecycle: concept, design, production, testing and release of projects.Conceiving, communicating and owning the overall timeline for analytics projects.Driving innovation as a principal data analyst.Delivering solutions to all verticals across the enterprise. QualificationsMasters degree or equivalent in Computer Science, Statistics, or related field.Minimum of 3 years working as a Data Scientist.Experience analyzing and interpreting the results of product experiments.Knowledge of machine learning, information retrieval, data mining, statistics, predictive analytics, NLP or related field. Programming skills in some of the following languages: Python, Java, Scala, Perl, Shell.Knowledge of statistical languages such as R or SAS. Experience working with large data sets and distributed computing tools (i.e. Map/Reduce, Hadoop, Hive, Spark, or Storm). Working knowledge of relational database systems and SQL.Experience with some of these methods: Regression, Decision Trees, CART, Random Forest, Boosting, Evolutionary Programming, Neural Networks, Fuzzy Systems, Bayesian Belief Networks, Support Vector Machines, Ensemble Methods, Association Rules, Singular Value Decomposition, Principal Component Analysis, Clustering.Experience in some of these applications: Collaborative Filtering, Personalization, Consumer Segmentation, Text Analytics, Information Retrieval, Search Relevance.Experience managing end-to-end machine learning pipeline from data exploration, feature engineering, model building, performance evaluation, and online testing with big data set.Excellent communication skills (verbal and written).Prior experience in this area with Ad Tech eCommerce or Online Retail would be a plus.Excellent organization skills and attention to detail.Exceptional problem solving skills with unrelenting focus on practical business implications.Leadership, passion, and curiosity.Who We Are:Connexity, Inc (http://www.connexity.com) (formerly Shopzilla) is a technology driven marketing solutions company that leverages almost twenty years of ecommerce expertise to enable retailers and brands to understand their consumers better, acquire new customers at a lower cost, and increase sales. For retailers, Connexity offers a range of marketing solutions including search marketing, syndicated product listings, targeted display advertising, and the Bizrate Insights customer feedback program. For marketers and their agencies, Connexity delivers targeted audiences on any device through a programmatic media buying platform.Headquartered in Los Angeles, the company operates sites and business services in the United States, the United Kingdom, France and Germany including Bizrate, Beso, Shopzilla, Retrevo, TaDa, PrixMoinsCher, and SparDeinGeld.*LI-AC"
